"term","strength","rank"
"inquiry model",60,1206
"leisure-time physical",60,1206
"leisure-time physical activity",60,1206
"policy interventions",60,1206
"population-based survey",60,1206
"secondary school principals",60,1206
"small rural",60,1206
"student characteristics",60,1206
"systemic functional",60,1206
"young women",60,1206
"blood pressure measurement",61,1236
"clinical training",61,1236
"computer simulation",61,1236
"cultural psychology",61,1236
"digital culture",61,1236
"educational products",61,1236
"expert system",61,1236
"indian states",61,1236
"information dissemination",61,1236
"intelligent tutoring system",61,1236
"intervention research",61,1236
"language test",61,1236
"michel foucault",61,1236
"nursing care",61,1236
"sedentary behavior",61,1236
"type 1 diabetes",61,1236
"change management",61,1236
"clinical profile",61,1236
"democratic citizenship",61,1236
"digital reading",61,1236
"intelligent tutoring",61,1236
"management policies",61,1236
"management strategy",61,1236
"methodological strategy",61,1236
"peruvian basic",61,1236
"peruvian basic education",61,1236
"school dropouts",61,1236
"self-report measures",61,1236
"speaking skills",61,1236
"state basic education",61,1236
"student academic",61,1236
"teachersâ€™ mental",61,1236
"vocabulary learning",61,1236
"academic writing",62,1269
"chronic kidney disease",62,1269
"educational design",62,1269
"emotional support",62,1269
"evaluation criteria",62,1269
"functional linguistics",62,1269
"immersive virtual reality",62,1269
"national health insurance",62,1269
"no-fee schools",62,1269
"predictive value",62,1269
"public budget",62,1269
"school segregation",62,1269
"suicide attempt",62,1269
"teacher agency",62,1269
"teacher performance assessment",62,1269
"teaching of history",62,1269
"technology-enhanced learning",62,1269
"caries experience",62,1269
"chronic kidney",62,1269
"evaluation practices",62,1269
"feeding programme",62,1269
"immersive virtual",62,1269
"inservice teacher",62,1269
"learning online",62,1269
"mexican adolescents",62,1269
"perceived social support",62,1269
"public health nurses",62,1269
"school feeding programme",62,1269
"sports activities",62,1269
"tablet computers",62,1269
"academic literacy",63,1299
"cardiorespiratory fitness",63,1299
"computing education",63,1299
"domestic animal",63,1299
"global health",63,1299
"hierarchical linear models",63,1299
"human rights education",63,1299
"literacy learning",63,1299
"low birth weight",63,1299
"measuring instrument",63,1299
"north africa",63,1299
"oral cancer",63,1299
"service provision",63,1299
"social behavior",63,1299
"social protection",63,1299
"central nervous",63,1299
"central nervous system",63,1299
"enugu state",63,1299
"factors causing",63,1299
"finnish primary",63,1299
"flipped learning",63,1299
"international comparative",63,1299
"mathematics textbooks",63,1299
"negative perception",63,1299
"research approaches",63,1299
"studentsâ€™ computational",63,1299
"studentsâ€™ computational thinking",63,1299
"community education",64,1326
"contraceptive use",64,1326
"curriculum integration",64,1326
"direct cost",64,1326
"government programs",64,1326
"information skills",64,1326
"land use",64,1326
"learner support",64,1326
"local development",64,1326
"nursing practice",64,1326
"path analysis",64,1326
"teacher satisfaction",64,1326
"tooth brushing",64,1326
"applied education",64,1326
"basic nursing",64,1326
"educational perspective",64,1326
"evaluation skills",64,1326
"indian elementary",64,1326
"metro manila",64,1326
"non-state actors",64,1326
"preservice elementary school",64,1326
"preservice elementary school teachers",64,1326
"reality environments",64,1326
"spanish school",64,1326
"virtual reality environments",64,1326
"comprehensive sexuality education",65,1351
"economic reform",65,1351
"educational psychology",65,1351
"gestational age",65,1351
"hidden curriculum",65,1351
"human capital investment",65,1351
"ict self-efficacy",65,1351
"mental model",65,1351
"mind maps",65,1351
"physics teaching",65,1351
"programming teaching",65,1351
"scripted lesson plans",65,1351
"sexual violence",65,1351
"situated learning",65,1351
"tablet pc",65,1351
"tablet pcs",65,1351
"accessing basic education",65,1351
"adult students",65,1351
"attending antenatal clinic",65,1351
"childrenâ€™s access",65,1351
"comprehensive sexuality",65,1351
"early elementary students",65,1351
"engineering teaching",65,1351
"portuguese population",65,1351
"pre-service primary",65,1351
"pregnant women attending antenatal clinic",65,1351
"scripted lesson",65,1351
"social construction",65,1351
"temporal trends",65,1351
"women attending antenatal clinic",65,1351
"career guidance",66,1381
"convergent validity",66,1381
"didactic strategies",66,1381
"financial literacy",66,1381
"higher school",66,1381
"international physical activity questionnaire",66,1381
"language ideologies",66,1381
"multilevel modeling",66,1381
"organizational commitment",66,1381
"programming languages",66,1381
"prospective studies",66,1381
"psychological well-being",66,1381
"teacher autonomy",66,1381
"traffic accident",66,1381
"validation study",66,1381
"chinese students",66,1381
"communications technologies",66,1381
"elementary social studies methods",66,1381
"government spending",66,1381
"leadership styles",66,1381
"learning perspective",66,1381
"local languages",66,1381
"personal health",66,1381
"portuguese version",66,1381
"traffic accidents",66,1381
"achievement goals",67,1406
"general health questionnaire",67,1406
"mental health care",67,1406
"multimedia teaching",67,1406
"rural development",67,1406
"teaching programming",67,1406
"ubiquitous learning",67,1406
"brazilian adolescents",67,1406
"childhood experiences",67,1406
"critical review",67,1406
"educatel study",67,1406
"rural elementary",67,1406
"state universal basic",67,1406
"state universal basic education",67,1406
"state universal basic education board",67,1406
"student mathematics",67,1406
"teachersâ€™ conceptions",67,1406
"universal basic education board",67,1406
"variables influencing",67,1406
"civil war",68,1425
"cognitive functions",68,1425
"gender relations",68,1425
"history of mathematics",68,1425
"human capital theory",68,1425
"human immunodeficiency virus",68,1425
"learning assessments",68,1425
"longitudinal studies",68,1425
"multivariate logistic regression analysis",68,1425
"new zealand",68,1425
"occupational therapy",68,1425
"pedagogical training",68,1425
"physical violence",68,1425
"systolic blood pressure",68,1425
"teaching knowledge",68,1425
"capital accumulation",68,1425
"children based",68,1425
"chilean school",68,1425
"early primary",68,1425
"education teacher education",68,1425
"field education",68,1425
"human capital accumulation",68,1425
"mother tongue-based multilingual",68,1425
"mother tongue-based multilingual education",68,1425
"perceived competence",68,1425
"preliminary study",68,1425
"problem-solving competence",68,1425
"public authority",68,1425
"tongue-based multilingual",68,1425
"tongue-based multilingual education",68,1425
"attention deficit hyperactivity disorder",69,1455
"community of practice",69,1455
"design education",69,1455
"developing world",69,1455
"field experiment",69,1455
"global citizenship education",69,1455
"inquiry-based instruction",69,1455
"k-12 schools",69,1455
"quality improvement",69,1455
"russian federation",69,1455
"supervised internship",69,1455
"water resources",69,1455
"weight gain",69,1455
"basic education children",69,1455
"basic education mathematics",69,1455
"community schools",69,1455
"early school",69,1455
"english language learning",69,1455
"music class",69,1455
"nutrition knowledge",69,1455
"preservice teachersâ€™ self-efficacy",69,1455
"algorithmic thinking",70,1476
"clinical feature",70,1476
"community involvement",70,1476
"explicit-reflective instruction",70,1476
"factorial analysis",70,1476
"geographic information systems",70,1476
"indigenous history",70,1476
"multilevel logistic regression",70,1476
"patient health questionnaire",70,1476
"science teacher identity",70,1476
"screening test",70,1476
"sdg 4",70,1476
"social care",70,1476
"turkish education",70,1476
"university campus",70,1476
"urban education",70,1476
"vaginal delivery",70,1476
"voice disorder",70,1476
"voice disorders",70,1476
"adult english language",70,1476
"clinical features",70,1476
"developing teacher",70,1476
"education initiatives",70,1476
"government expenditure",70,1476
"organizational factors",70,1476
"reading outcomes",70,1476
"social integration",70,1476
"asking questions",71,1503
"behavior management",71,1503
"children's rights",71,1503
"collaborative writing",71,1503
"design features",71,1503
"digital competencies",71,1503
"health disparities",71,1503
"indigenous education",71,1503
"maternal mortality",71,1503
"mobile phone",71,1503
"model development",71,1503
"personal information",71,1503
"public action",71,1503
"unplugged programming",71,1503
"buenos aires",71,1503
"capital investment",71,1503
"complementary basic",71,1503
"complementary basic education",71,1503
"early reading",71,1503
"elementary school teaching",71,1503
"language classes",71,1503
"mobile health",71,1503
"patients undergoing",71,1503
"qualitative investigation",71,1503
"schools serving",71,1503
"state basic",71,1503
"sustainable education",71,1503
"computer software",72,1530
"continuing training",72,1530
"curricular integration",72,1530
"food safety",72,1530
"fundamental rights",72,1530
"late elementary education",72,1530
"nordic countries",72,1530
"physical fitness",72,1530
"policy development",72,1530
"teacher quality",72,1530
"adult basic education students",72,1530
"compulsory elementary",72,1530
"compulsory elementary education",72,1530
"enhance elementary",72,1530
"family literacy",72,1530
"spanish elementary education",72,1530
"studies curriculum",72,1530
"tutoring system",72,1530
"alternative conceptions",73,1548
"data processing",73,1548
"dental health",73,1548
"factorial design",73,1548
"immigrant students",73,1548
"inquiry skills",73,1548
"media education",73,1548
"myocardial infarction",73,1548
"pedagogical research",73,1548
"science content knowledge",73,1548
"science notebook",73,1548
"student understanding",73,1548
"water supply",73,1548
"continuous professional development",73,1548
"finnish teachersâ€™",73,1548
"future mathematics",73,1548
"hypertensive patients",73,1548
"nervous system",73,1548
"noncommunicable diseases",73,1548
"pandemic covid-19",73,1548
"perceived social",73,1548
"picture books",73,1548
"pre-service elementary educators",73,1548
"school childrenâ€™s",73,1548
"scientific content",73,1548
"taiwanese elementary school",73,1548
"technical efficiency",73,1548
"child education",74,1575
"critical incidents",74,1575
"cultural competence",74,1575
"educational effectiveness",74,1575
"instructional effectiveness",74,1575
"mathematical modeling",74,1575
"sexual practice",74,1575
"teacher evaluation",74,1575
"cognitive impairment",74,1575
"education centers",74,1575
"examining elementary",74,1575
"factors impacting",74,1575
"language classroom",74,1575
"literacy campaign",74,1575
"physical activity practice",74,1575
"previously disadvantaged",74,1575
"special education schools",74,1575
"special issue",74,1575
"big data",75,1593
"child labor",75,1593
"culturally responsive pedagogy",75,1593
"educational strategies",75,1593
"family involvement",75,1593
"family support",75,1593
"infant mortality",75,1593
"mental health promotion",75,1593
"metacognitive awareness",75,1593
"private tutoring",75,1593
"school-based curriculum",75,1593
"school effectiveness",75,1593
"school organization",75,1593
"social distancing",75,1593
"teacher beliefs",75,1593
"basic education learners",75,1593
"chinese elementary",75,1593
"elderly patients",75,1593
"geography teachers",75,1593
"mother tongue-based",75,1593
"psychiatric disorders",75,1593
"reading development",75,1593
"responsive pedagogy",75,1593
"school textbooks",75,1593
"weight status",75,1593
"dietary pattern",76,1618
"geographic education",76,1618
"higher education students",76,1618
"life style",76,1618
"teacher reflection",76,1618
"teacher research",76,1618
"training policies",76,1618
"written text",76,1618
"chilean educational",76,1618
"common curriculum",76,1618
"early learning",76,1618
"improving studentsâ€™",76,1618
"mexican teachers",76,1618
"regular basic education students",76,1618
"school health policy",76,1618
"teach reading",76,1618
"biological sciences",77,1634
"concept maps",77,1634
"conceptual map",77,1634
"constructivist theory",77,1634
"new public management",77,1634
"postgraduate education",77,1634
"primary grades",77,1634
"sri lanka",77,1634
"time management",77,1634
"word problem solving",77,1634
"chronic illnesses",77,1634
"language textbooks",77,1634
"linguistically diverse",77,1634
"national health survey",77,1634
"preliminary analysis",77,1634
"psychoactive substance",77,1634
"questionnaire based",77,1634
"teaching difficulties",77,1634
"upper elementary education",77,1634
"upper primary",77,1634
"behavioral patterns",78,1654
"classroom climate",78,1654
"continuing teacher education",78,1654
"ict skills",78,1654
"information management",78,1654
"internet of things",78,1654
"language comprehension",78,1654
"maternal health",78,1654
"reproductive age",78,1654
"vocabulary knowledge",78,1654
"immigrant children",78,1654
"mixed method study",78,1654
"municipal level",78,1654
"music teaching",78,1654
"pedagogy courses",78,1654
"primary school teachersâ€™",78,1654
"science teaching self-efficacy",78,1654
"selected south african",78,1654
"state universal",78,1654
"young learnersâ€™",78,1654
"educational software",79,1674
"in-service teacher training",79,1674
"life event",79,1674
"neural networks",79,1674
"peer group",79,1674
"population distribution",79,1674
"school efficiency",79,1674
"teaching history",79,1674
"visually impaired",79,1674
"african physical",79,1674
"development policy",79,1674
"education children",79,1674
"literacy curriculum",79,1674
"mathematical performance",79,1674
"motivation scale",79,1674
"occupational therapists",79,1674
"school entry",79,1674
"south african physical",79,1674
"teaching children",79,1674
"continuing professional development",80,1693
"digital information",80,1693
"educational inclusion",80,1693
"food insecurity",80,1693
"heart failure",80,1693
"integrated education",80,1693
"intervention study",80,1693
"performance indicators",80,1693
"teaching evaluation",80,1693
"technological innovation",80,1693
"vulnerable groups",80,1693
"indian school",80,1693
"junior secondary schools",80,1693
"primary science",80,1693
"psychosocial intervention",80,1693
"rural secondary school",80,1693
"south asian",80,1693
"body image",81,1710
"community colleges",81,1710
"economic impact",81,1710
"educational opportunity",81,1710
"ethnic groups",81,1710
"executive functions",81,1710
"learning competencies",81,1710
"learning trajectories",81,1710
"normal distribution",81,1710
"virtual education",81,1710
"work performance",81,1710
"african teachers",81,1710
"attending antenatal",81,1710
"breast cancer patients",81,1710
"digital environment",81,1710
"educational differences",81,1710
"multimedia technology",81,1710
"national common",81,1710
"physical education curriculum",81,1710
"pregnant women attending antenatal",81,1710
"prescribed curriculum",81,1710
"school partnership",81,1710
"study protocol",81,1710
"women attending antenatal",81,1710
"19th century",82,1734
"curriculum management",82,1734
"economic crisis",82,1734
"growth curve",82,1734
"intersectoral collaboration",82,1734
"licensure examination for teachers",82,1734
"maternal age",82,1734
"numeracy practices",82,1734
"project based learning",82,1734
"prospective elementary teachers",82,1734
"self efficacy",82,1734
"western china",82,1734
"women's health",82,1734
"accountability policies",82,1734
"african secondary schools",82,1734
"ar-based learning",82,1734
"assessment approach",82,1734
"classroom teachersâ€™",82,1734
"comprehension strategies",82,1734
"elementary school curricula",82,1734
"geography teacher",82,1734
"nutrition survey",82,1734
"preparing elementary",82,1734
"selected primary schools",82,1734
"sickness absence",82,1734
"south african secondary schools",82,1734
"teaching physical",82,1734
"two-level hierarchical",82,1734
"two-level hierarchical linear",82,1734
"cervical cancer screening",83,1763
"literacy practices",83,1763
"mobile application",83,1763
"morphological awareness",83,1763
"prostate cancer",83,1763
"psychological needs",83,1763
"public-private partnerships",83,1763
"reference value",83,1763
"school psychologists",83,1763
"sedentary lifestyle",83,1763
"social aspects",83,1763
"social policy",83,1763
"type 1",83,1763
"history teacher",83,1763
"post-apartheid south",83,1763
"post-apartheid south africa",83,1763
"visual programming",83,1763
"autism spectrum disorders",84,1780
"democratic management",84,1780
"educational challenges",84,1780
"educational legislation",84,1780
"emotional development",84,1780
"ensino fundamental",84,1780
"mediation analysis",84,1780
"mediterranean diet",84,1780
"metabolic syndrome",84,1780
"online education",84,1780
"oral hygiene",84,1780
"prenatal care",84,1780
"principal leadership",84,1780
"public education spending",84,1780
"state standards",84,1780
"tablet computer",84,1780
"instructional media",84,1780
"intimate partner",84,1780
"learn mathematics",84,1780
"teacher ratings",84,1780
"trainee teachers",84,1780
"computer skills",85,1801
"condom use",85,1801
"elementary education curriculum",85,1801
"environmental management",85,1801
"exceptional children",85,1801
"household expenditure",85,1801
"metacognitive strategies",85,1801
"new basic education",85,1801
"old age",85,1801
"postsecondary education",85,1801
"programming learning",85,1801
"survival analysis",85,1801
"teacher attitudes",85,1801
"continuous professional",85,1801
"educational units",85,1801
"gender perspective",85,1801
"language literacy",85,1801
"secondary education teachers",85,1801
"smoking status",85,1801
"curriculum policy",86,1820
"educational access",86,1820
"educational potential",86,1820
"indigenous knowledge",86,1820
"infectious disease",86,1820
"informal learning",86,1820
"multicultural education",86,1820
"public administration",86,1820
"relevant education",86,1820
"socio-cultural context",86,1820
"systems thinking",86,1820
"waste management",86,1820
"catholic university",86,1820
"china based",86,1820
"eating behavior",86,1820
"education teacher candidatesâ€™",86,1820
"elementary education teacher candidatesâ€™",86,1820
"elementary school curriculum",86,1820
"english learners",86,1820
"infectious diseases",86,1820
"positive behavior",86,1820
"prospective teachersâ€™",86,1820
"public network",86,1820
"twenty years",86,1820
"capacity development",87,1844
"child abuse",87,1844
"financial management",87,1844
"mathematics anxiety",87,1844
"medical history",87,1844
"oral language",87,1844
"perceived self-efficacy",87,1844
"predictor variable",87,1844
"professional learning community",87,1844
"regional development",87,1844
"statistical tests",87,1844
"work stress",87,1844
"capital theory",87,1844
"current status",87,1844
"didactic strategy",87,1844
"integrated school",87,1844
"sixth grade students",87,1844
"teacher trainers",87,1844
"adolescent mental health",88,1862
"cancer diagnosis",88,1862
"ensino mã©dio",88,1862
"inequality of opportunity",88,1862
"inquiry science",88,1862
"k-12 curriculum",88,1862
"leadership style",88,1862
"math anxiety",88,1862
"web 2.0",88,1862
"adolescent mental",88,1862
"cluster randomized controlled trial",88,1862
"digital competences",88,1862
"disability pension",88,1862
"dutch elementary",88,1862
"elementary education stage",88,1862
"follow-up study",88,1862
"graduation courses",88,1862
"lesson studies",88,1862
"patients attending",88,1862
"power relations",88,1862
"promoting students",88,1862
"support elementary",88,1862
"support learning",88,1862
"teachersâ€™ experiences",88,1862
"applied linguistics",89,1886
"financial education",89,1886
"knowledge transfer",89,1886
"problem solving skills",89,1886
"staff development",89,1886
"teaching careers",89,1886
"transformative learning",89,1886
"universal design for learning",89,1886
"academic progress",89,1886
"basic education board",89,1886
"education studentsâ€™",89,1886
"grade mathematics",89,1886
"scholarship program",89,1886
"turkish elementary",89,1886
"bivariate analysis",90,1900
"cancer survivor",90,1900
"cancer survivors",90,1900
"colorectal cancer",90,1900
"emotional well-being",90,1900
"equal opportunity",90,1900
"family history",90,1900
"internal validity",90,1900
"leadership for learning",90,1900
"measurement instruments",90,1900
"policy making",90,1900
"teachers' work",90,1900
"finnish student",90,1900
"health policies",90,1900
"indigenous communities",90,1900
"physical education lessons",90,1900
"public investment",90,1900
"advanced education",91,1917
"alcohol abuse",91,1917
"cash transfer",91,1917
"comprehensive education",91,1917
"leisure time",91,1917
"moral education",91,1917
"northern ghana",91,1917
"pre-service teacher training",91,1917
"regional differences",91,1917
"resource management",91,1917
"science literacy",91,1917
"social cognitive theory",91,1917
"state of the art",91,1917
"taiwanese students",91,1917
"technical education",91,1917
"test performance",91,1917
"weight loss",91,1917
"brazilian elementary",91,1917
"disadvantaged schools",91,1917
"studentsâ€™ english",91,1917
"teachersâ€™ understanding",91,1917
"virtual teaching",91,1917
"alternative basic education",92,1939
"assessment for learning",92,1939
"barriers to learning",92,1939
"home environment",92,1939
"learner performance",92,1939
"mathematical reasoning",92,1939
"school choice",92,1939
"social security",92,1939
"activity practice",92,1939
"alternative basic",92,1939
"antenatal clinic",92,1939
"gender stereotypes",92,1939
"narrative texts",92,1939
"national curriculum reform",92,1939
"universal basic education policy",92,1939
"affirmative action",93,1954
"career development",93,1954
"education funding",93,1954
"extrinsic motivation",93,1954
"narrative inquiry",93,1954
"psychosocial variables",93,1954
"teaching hospital",93,1954
"accessing basic",93,1954
"mainstream schools",93,1954
"qualitative approaches",93,1954
"school-based health",93,1954
"school-based health survey",93,1954
"science education program",93,1954
"specialized educational",93,1954
"differentiated instruction",94,1968
"educational standards",94,1968
"financial crisis",94,1968
"patient education",94,1968
"pedagogical innovation",94,1968
"registered nurse",94,1968
"school readiness",94,1968
"school violence",94,1968
"social vulnerability",94,1968
"elementary public schools",94,1968
"empirical investigation",94,1968
"universal design",94,1968
"computational concepts",95,1980
"education for sustainable development",95,1980
"evaluation method",95,1980
"external assessment",95,1980
"health risks",95,1980
"language policy",95,1980
"national curricular parameters",95,1980
"reading performance",95,1980
"basic educationâ€™s",95,1980
"health information",95,1980
"health nurses",95,1980
"learning principles",95,1980
"multiple representations",95,1980
"rural secondary",95,1980
"spectrum disorders",95,1980
"technical university",95,1980
"authentic learning",96,1996
"behavioral intention",96,1996
"childrenâ€™s literature",96,1996
"education financing",96,1996
"educational planning",96,1996
"formative evaluation",96,1996
"knowledge economy",96,1996
"rheumatoid arthritis",96,1996
"teacher professional learning",96,1996
"teaching training",96,1996
"chinese language",96,1996
"early literacy",96,1996
"education district",96,1996
"elementary school pre-service",96,1996
"elementary school pre-service teachers",96,1996
"national literacy",96,1996
"randomised controlled trial",96,1996
"social relevance",96,1996
"academic production",97,2014
"adverse effects",97,2014
"career choice",97,2014
"digital tools",97,2014
"finnish educational system",97,2014
"general practice",97,2014
"interactive learning",97,2014
"management skills",97,2014
"middle class",97,2014
"north carolina",97,2014
"theoretical foundations",97,2014
"traditional instruction",97,2014
"clinical experience",97,2014
"education learners",97,2014
"gansu province",97,2014
"international assessment",97,2014
"kidney disease",97,2014
"science students",97,2014
"antiretroviral therapy",98,2032
"behavioral problems",98,2032
"common national curriculum base",98,2032
"computer assisted learning",98,2032
"conceptual change",98,2032
"diastolic blood pressure",98,2032
"educational experiences",98,2032
"family functioning",98,2032
"fourth industrial revolution",98,2032
"interdisciplinary approach",98,2032
"reading strategies",98,2032
"entrance examination",98,2032
"fourth industrial",98,2032
"grade science",98,2032
"prevention program",98,2032
"teacher certification",98,2032
"teaching network",98,2032
"upper elementary school",98,2032
"occupational therapist",99,2050
"problem-solving performance",99,2050
"public educational policies",99,2050
"way forward",99,2050
"basic education teachersâ€™",99,2050
"case-control study",99,2050
"elementary education degree",99,2050
"explanatory model",99,2050
"learning intervention",99,2050
"professional teaching",99,2050
"school psychologist",99,2050
"studentsâ€™ scientific",99,2050
"academic research",100,2062
"day care",100,2062
"didactic resources",100,2062
"educational goals",100,2062
"epidemiological profile",100,2062
"information science",100,2062
"internet use",100,2062
"living standard",100,2062
"multiple representation",100,2062
"needs assessment",100,2062
"open educational resources",100,2062
"open learning",100,2062
"personal development",100,2062
"social studies education",100,2062
"training policy",100,2062
"user experience",100,2062
"cluster randomized controlled",100,2062
"method study",100,2062
"participatory research",100,2062
"rural primary schools",100,2062
"selected primary",100,2062
"teaching methods courses",100,2062
"chinese education",101,2084
"college education",101,2084
"initial education",101,2084
"public-private partnership",101,2084
"science process skills",101,2084
"social aspect",101,2084
"arabic language",101,2084
"bachelorâ€™s degree",101,2084
"educational projects",101,2084
"evaluation policies",101,2084
"mainland china",101,2084
"teachers based",101,2084
"training model",101,2084
"chemistry teaching",102,2097
"childhood obesity",102,2097
"chronic obstructive",102,2097
"chronic obstructive pulmonary disease",102,2097
"community development",102,2097
"coping strategies",102,2097
"ethnic minorities",102,2097
"free compulsory universal basic education",102,2097
"licensure examination",102,2097
"physical condition",102,2097
"pulmonary disease",102,2097
"return to school",102,2097
"video games",102,2097
"chronic obstructive pulmonary",102,2097
"education planning",102,2097
"education textbooks",102,2097
"literacy assessment",102,2097
"obstructive pulmonary",102,2097
"obstructive pulmonary disease",102,2097
"studentsâ€™ academic achievement",102,2097
"teachersâ€™ perspectives",102,2097
"teaching reading",102,2097
"classroom assessment",103,2119
"critical race theory",103,2119
"cultural capital",103,2119
"equality in education",103,2119
"exploratory research",103,2119
"gifted children",103,2119
"leisure activities",103,2119
"live birth",103,2119
"post-secondary education",103,2119
"school grades",103,2119
"scientific method",103,2119
"teachers training",103,2119
"technological education",103,2119
"time allocation",103,2119
"word recognition",103,2119
"component skills",103,2119
"game-based learning environment",103,2119
"novice teachers",103,2119
"pregnant women attending",103,2119
"research program",103,2119
"teachersâ€™ practices",103,2119
"coronavirus disease 2019",104,2140
"gini coefficient",104,2140
"job opportunities",104,2140
"longitudinal research",104,2140
"philippine education",104,2140
"teacher leadership",104,2140
"african secondary",104,2140
"compulsory schooling",104,2140
"education groups",104,2140
"educational public",104,2140
"primary school level",104,2140
"reading ability",104,2140
"south african secondary",104,2140
"multiple intelligences",105,2153
"pedagogical model",105,2153
"policy change",105,2153
"support vector machine",105,2153
"basic public",105,2153
"elementary children",105,2153
"population-based cohort",105,2153
"skill development",105,2153
"chi square test",106,2161
"community health workers",106,2161
"external evaluations",106,2161
"geographic information system",106,2161
"intercultural education",106,2161
"satisfaction with life",106,2161
"smoking cessation",106,2161
"social life",106,2161
"studentsâ€™ perceptions",106,2161
"basic education teacher training",106,2161
"higher basic education",106,2161
"instructional approaches",106,2161
"performance evaluation",106,2161
"primary healthcare",106,2161
"public funding",106,2161
"studentsâ€™ science",106,2161
"hyperactivity disorder",107,2177
"professional profile",107,2177
"quality of instruction",107,2177
"basic education professionals",107,2177
"disabled children",107,2177
"literacy programme",107,2177
"preliminary results",107,2177
"randomised controlled",107,2177
"selection process",107,2177
"self-rated health",107,2177
"21st century skills",108,2187
"birth cohort",108,2187
"computer-based learning",108,2187
"healthy eating",108,2187
"hierarchical linear modeling",108,2187
"indigenous languages",108,2187
"instructional strategy",108,2187
"medical care",108,2187
"outdoor learning",108,2187
"sex difference",108,2187
"social participation",108,2187
"teachers' training",108,2187
"theoretical models",108,2187
"autonomous learning",108,2187
"basic education project",108,2187
"common national curriculum",108,2187
"longitudinal analysis",108,2187
"management strategies",108,2187
"migrant students",108,2187
"northern region",108,2187
"primary school pupils",108,2187
"prospective cohort",108,2187
"prospective cohort study",108,2187
"digital devices",109,2210
"digital transformation",109,2210
"early detection",109,2210
"extracurricular activities",109,2210
"gender role",109,2210
"gender roles",109,2210
"human papillomavirus",109,2210
"knowledge sharing",109,2210
"new school",109,2210
"rural population",109,2210
"teachers in training",109,2210
"technology acceptance model",109,2210
"theory of planned behavior",109,2210
"virtual learning environments",109,2210
"west africa",109,2210
"education lessons",109,2210
"framework education",109,2210
"patients treated",109,2210
"regular basic education teachers",109,2210
"women attending",109,2210
"digital games",110,2230
"educational computer game",110,2230
"global citizenship",110,2230
"informal education",110,2230
"large-scale evaluation",110,2230
"medical education",110,2230
"southeast asia",110,2230
"video game",110,2230
"adult basic education programmes",110,2230
"elementary school classrooms",110,2230
"state public school",110,2230
"early intervention",111,2241
"gifted students",111,2241
"hiv infection",111,2241
"multiple linear regression analysis",111,2241
"future educators",111,2241
"learning based",111,2241
"political action",111,2241
"pre-service science",111,2241
"professional master",111,2241
"responsive teaching",111,2241
"special education services",111,2241
"taiwanese elementary",111,2241
"analytical framework",112,2253
"cultural value",112,2253
"family life",112,2253
"food security",112,2253
"mixed methods research",112,2253
"federal constitution",112,2253
"internal structure",112,2253
"program based",112,2253
"school pre-service",112,2253
"school pre-service teachers",112,2253
"social workers",112,2253
"2030 agenda",113,2264
"chinese government",113,2264
"community participation",113,2264
"experiential learning",113,2264
"family planning",113,2264
"methods of teaching",113,2264
"non-communicable diseases",113,2264
"state governments",113,2264
"vulnerable children",113,2264
"education graduates",113,2264
"gerais state",113,2264
"minas gerais state",113,2264
"science classrooms",113,2264
"secondary education students",113,2264
"secondary school level",113,2264
"university courses",113,2264
"domestic violence",114,2280
"educational performance",114,2280
"family relation",114,2280
"family relations",114,2280
"knowledge acquisition",114,2280
"risk reduction",114,2280
"twentieth century",114,2280
"educating children",114,2280
"elderly people",114,2280
"inquiry learning",114,2280
"mathematics classrooms",114,2280
"parental support",114,2280
"education evaluation",115,2292
"knowledge building",115,2292
"secondary analysis",115,2292
"social capital",115,2292
"adult patients",115,2292
"educational sciences",115,2292
"english curriculum",115,2292
"porto alegre",115,2292
"civic education",116,2300
"ethnic-racial relations",116,2300
"general practitioners",116,2300
"nursing education",116,2300
"performance assessment",116,2300
"technological literacy",116,2300
"compulsory universal basic",116,2300
"compulsory universal basic education",116,2300
"education networks",116,2300
"game-based learning approach",116,2300
"antenatal care",117,2310
"decision tree",117,2310
"equity in education",117,2310
"field survey",117,2310
"initial formation",117,2310
"integrated curriculum",117,2310
"nursing student",117,2310
"nursing students",117,2310
"patient care",117,2310
"educational technologies",117,2310
"elementary education preservice teachers",117,2310
"elementary teacher candidates",117,2310
"english vocabulary",117,2310
"supported collaborative",117,2310
"supported collaborative learning",117,2310
"birth weight",118,2325
"emotional learning",118,2325
"english as a second language",118,2325
"language curriculum",118,2325
"management education",118,2325
"practical training",118,2325
"social responsibility",118,2325
"teachers college",118,2325
"integrated learning",118,2325
"national english",118,2325
"school closures",118,2325
"social cognitive",118,2325
"discursive textual analysis",119,2337
"elementary science education",119,2337
"gender equity",119,2337
"interactive whiteboards",119,2337
"oral history",119,2337
"remote learning",119,2337
"school feeding",119,2337
"school participation",119,2337
"student perceptions",119,2337
"written language",119,2337
"literacy intervention",119,2337
"teacher education students",119,2337
"teaching elementary",119,2337
"universal basic education programme",119,2337
"activities of daily living",120,2351
"bibliographic research",120,2351
"children's literature",120,2351
"gender issues",120,2351
"hong kong",120,2351
"population growth",120,2351
"preservice teacher education",120,2351
"reflective thinking",120,2351
"south asia",120,2351
"video analysis",120,2351
"work ability",120,2351
"cultural practices",120,2351
"elementary school level",120,2351
"foundation phase teachers",120,2351
"mixed-methods study",120,2351
"public elementary education",120,2351
"southern brazil",120,2351
